source_reference_id,approval_source,proposed_product_id,business_line,product_name,brand_id,category_id,sale_price_cop,image_sha256,proposed_sku,proposed_catalog_code,proposed_slug,sku_resolution_status,catalog_code_resolution_status,slug_resolution_status,product_id_resolution_status,eligibility_status
CATV1-P007-R3L,POLICY_APPROVED,0ecf1f69-602f-2072-1a24-381e9cde1592,BEAUTY_CARE,POCIMA DE PESTAÑAS,23363ac3-3646-47d3-88d8-30b13a62d37d,,66000,fa97e7bfc1204d32b1873f4c0c789dd9a1a6aa1ab5d23934f9bf59e99d168039,BC-20010,BCV5-0011,beauty-care-pocima-de-pestanas,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P007-R3R,POLICY_APPROVED,3d6fad27-a2f7-7f34-71f8-afe81d692f27,BEAUTY_CARE,PARCHES SOS,23363ac3-3646-47d3-88d8-30b13a62d37d,,26000,0afee50b06fc773d1fb3b8cd0538383de281b237307a1253c061938d9751c3ff,BC-20011,BCV5-0012,beauty-care-parches-sos,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P008-R1L,POLICY_APPROVED,db9858f1-4f26-b8fa-2f2c-58bf37d0feb2,BEAUTY_CARE,DEPILADOR OMG,23363ac3-3646-47d3-88d8-30b13a62d37d,,31000,273311a34f790d914304dc8caab259e3968e98a30d87aa5d6bcef00e45a99fb9,BC-20012,BCV5-0013,beauty-care-depilador-omg,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P008-R1R,POLICY_APPROVED,a96c04c8-674d-7893-b8ae-541b737040df,BEAUTY_CARE,KIDS SHAMPOO,23363ac3-3646-47d3-88d8-30b13a62d37d,,46000,d5f57665859276ce8d6975eddc4d1d7e5ad06858371d9d9708742cee876e8be4,BC-20013,BCV5-0014,beauty-care-kids-shampoo,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P008-R2L,POLICY_APPROVED,bb778288-e584-f8e6-6714-6f7dbf7266a5,BEAUTY_CARE,KERATINA PEQ,23363ac3-3646-47d3-88d8-30b13a62d37d,,81000,8a2c9df1b736c31b8e327b9b9c8bbb46adf5eee2d2161bd691f52c7b1e6221e9,BC-20014,BCV5-0015,beauty-care-keratina-peq,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P008-R2R,POLICY_APPROVED,a6d8d5ad-4182-fdf8-2290-4ae97d6defe3,BEAUTY_CARE,KERATINA GRANDE,23363ac3-3646-47d3-88d8-30b13a62d37d,,131000,6136d314b6be844cc3e846e4d1f8bca627f9a8f52260865f512af5f5988ed217,BC-20015,BCV5-0016,beauty-care-keratina-grande-p008-r2r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P008-R3L,POLICY_APPROVED,1886ae19-a3d7-57a0-6f47-92496cb4e233,BEAUTY_CARE,SHAMPOO REVITALIZANTE,23363ac3-3646-47d3-88d8-30b13a62d37d,,51000,e63229651952062fb23e76547fb0cdba1d53d87bc63b1a603913658a74a535c9,BC-20016,BCV5-0017,beauty-care-shampoo-revitalizante,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P008-R3R,POLICY_APPROVED,673614ba-856f-f63a-7bcf-334b59579a4b,BEAUTY_CARE,TRATA REVITALIZANTE,23363ac3-3646-47d3-88d8-30b13a62d37d,,51000,0b6b7e9770c7a9b436d9d9871f29bee7b6e6afae1f0ed3ee0a3d56ed3f5f3b3b,BC-20017,BCV5-0018,beauty-care-trata-revitalizante,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P009-R1L,POLICY_APPROVED,c973fe02-90a0-f759-dd5d-d0f6fd6f0f49,BEAUTY_CARE,CORRECTOR OJERAS,23363ac3-3646-47d3-88d8-30b13a62d37d,,36000,07051d4df4d48678ebf452a418e4ec29073c4f480bdc678183ce9b71c43345bc,BC-20018,BCV5-0019,beauty-care-corrector-ojeras,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P011-R1L,HUMAN_APPROVED,6782a4dc-5324-cb75-f736-b4d0d926443e,BEAUTY_CARE,SHAMPOO ROMERO,57bbddd8-dfe8-44db-b492-158e4a50894b,,51000,8ccce9904b7e57dbe9db8b0380c23533386d8b8cecc43a381a2ce79fcca97a7a,BC-20019,BCV5-0020,beauty-care-shampoo-romero-p011-r1l,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
